offer_id,product,category,ingredient,count,type
48809584722250,Roses and Freesia Luxury Funeral Wreath - 16 Inch,4,Rose,12,stems count
48809584722250,Roses and Freesia Luxury Funeral Wreath - 16 Inch,4,Freesia,8,stems count
48809584787786,Colourful Funeral Spray Tribute - Standard,4,Rose,12,stems count
48809584787786,Colourful Funeral Spray Tribute - Standard,4,Gerbera,8,stems count
48809584787786,Colourful Funeral Spray Tribute - Standard,4,Lily,5,stems count
48809584787786,Colourful Funeral Spray Tribute - Standard,4,Gladiolus,3,stems count
48809584820554,Colourful Funeral Spray Tribute - Deluxe,4,Rose,12,stems count
48809584820554,Colourful Funeral Spray Tribute - Deluxe,4,Gerbera,8,stems count
48809584820554,Colourful Funeral Spray Tribute - Deluxe,4,Lily,5,stems count
48809584820554,Colourful Funeral Spray Tribute - Deluxe,4,Gladiolus,3,stems count
48809584918858,Front Facing White Elegance Flower Basket - Standard,4,Chrysanthemum,15,stems count
48809584918858,Front Facing White Elegance Flower Basket - Standard,4,Hydrangea,4,stems count
48809584918858,Front Facing White Elegance Flower Basket - Standard,4,Delphinium,8,stems count
48809584918858,Front Facing White Elegance Flower Basket - Standard,4,Foliage,12,stems count
48809584951626,Front Facing White Elegance Flower Basket - Deluxe,4,Chrysanthemum,15,stems count
48809584951626,Front Facing White Elegance Flower Basket - Deluxe,4,Hydrangea,4,stems count
48809584951626,Front Facing White Elegance Flower Basket - Deluxe,4,Delphinium,8,stems count
48809584951626,Front Facing White Elegance Flower Basket - Deluxe,4,Foliage,12,stems count
48809585017162,Antique Luxury Funeral Posy - Standard,4,Rose,7,stems count
48809585017162,Antique Luxury Funeral Posy - Standard,4,Peony,5,stems count
48809585017162,Antique Luxury Funeral Posy - Standard,4,Freesia,8,stems count
48809585017162,Antique Luxury Funeral Posy - Standard,4,Tuberoses,7,stems count
48809585049930,Antique Luxury Funeral Posy - Deluxe,4,Rose,7,stems count
48809585049930,Antique Luxury Funeral Posy - Deluxe,4,Peony,5,stems count
48809585049930,Antique Luxury Funeral Posy - Deluxe,4,Freesia,8,stems count
48809585049930,Antique Luxury Funeral Posy - Deluxe,4,Tuberoses,7,stems count
48809585410378,DAD White and Purple Tribute,4,Hydrangea,5,stems count
48809585410378,DAD White and Purple Tribute,4,Chrysanthemum,14,stems count
48809585410378,DAD White and Purple Tribute,4,Gerbera,10,stems count
48809585410378,DAD White and Purple Tribute,4,Bouvardia,6,stems count
48809585410378,DAD White and Purple Tribute,4,Berry,8,stems count
48809585410378,DAD White and Purple Tribute,4,Black Eyed Susan,12,stems count
48809585508682,Pink Roses - 12 Stems,1,Rose,12,stems count
48809585639754,Pink Roses - 24 Stems,1,Rose,24,stems count
48809585705290,Pink Roses - 36 Stems,1,Rose,36,stems count
48809585803594,"Thistle, Hyde and Rose Wreath - 12 Inch",4,Hydrangea,5,stems count
48809585803594,"Thistle, Hyde and Rose Wreath - 12 Inch",4,Rose,4,stems count
48809585803594,"Thistle, Hyde and Rose Wreath - 12 Inch",4,Thistle,3,stems count
